Name,Mana Cost,Types,Power,Toughness,Text,Rarity,Color,Faction,
Aetherborder Outpost,,Land,,,"When ~ ETBs, choose a color; T: Add a mana of the color; 2,T: Choose target (color) creature, add a counter of a type it already has; 2,T: Choose  target creature not (color) and remove a counter from it",C,Colorless,,
Lava Greaves,0,Artifact - Equipment,,,Equipped creature gets +2/+1; Equip: Return a land to your hand,C,Colorless,,
Terramorphic Expanse,,Land,,,blah blah,C,Colorless,,
Physiological Augmentation,3,Sorcery,,,Put 2 +1/+1 counters on target creature. It gaings Vigilance until eot; Retrace,C,Colorless,FCP,
Flesh Pile,0,Creature - Human,0,1,Fleshcraft 0,C,Colorless,FCP,
Greatsword,3,Artifact - Equipment,,,Equipped Creature gets +2/+0 and its damage cannot be prevented. Creatures dealt damage by equipped creature cannot regenerate this turn; Equip 2,C,Colorless,Hive Courts,
Warspear,3,Artifact - Equipment,,,Equipped creature gets +2/+0 and First Strike; Equip 2,C,Colorless,Hive Courts,
Maul,3,Artifact - Equipment,,,Equipped creature gets +2/+0 and Trample; Equip 2,C,Colorless,Hive Courts,
Carapace Plate,2,Artifact - Equipment,,,Equipped creature gets +0+1 and Armor 1 Equip 2,C,Colorless,Hive Courts,
Oil Coating,2,Artifact,,,"~ ETBs with 3 charge counters on it; T, remove a charge counter: Until EOT, any creature dealt damage by target creature is exiled instead of killed; When the last charge counter is removed from ~, draw a card.",C,Colorless,,
Curious Carving,1,Artifact,,,Sacrifice ~: Shuffle all cards removed from the game into their owner's libraries,U,Colorless,Wanderer,
Epochrasite,2,Artifact Creature - Construct,1,1,"Epochrasite enters the battlefield with three +1/+1 counters on it if you didn't cast it from your hand.

When Epochrasite dies, exile it with three time counters on it and it gains suspend.",U,Colorless,,
Adaptive Ghoul,2,Creature - Human,1,1,"When ~ fleshcrafts, put a +1/+1 counter on it",U,Colorless,FCP,
Broken Clock,1,Artifact,,,"At the start of each player's turn, you may choose to have them skip all of their Upkeep steps",R,Colorless,Wanderer,
Crucible of Worlds,3,Artifact,,,You may play lands out of your graveyard,R,Colorless,,
Alter of Infusion,5,Artifact,,,"T, X: Exile target creature from a graveyard with CMC X.  Create an X/X Worm creature token",R,Colorless,Morlocks,
Solemn Cemetary,,Land,,,"T: Add a ©; T, exile a card from your graveyard: Add a mana of any color. If that card was a land, gain 2 life. If it was a creature, put a +1/+1 counter on a creature you control.  If it was an instant or sorcery, draw a card",R,Colorless,,
Paradox Rift,,Land,,,"T: Add a ©; T, return a land to your hand: Add a mana of any color",R,Colorless,,
